,fileName,tags
209,118744.tags,"secondary
scfg
prediction
structure
rna
"
210,1794647.tags,"x ray
prediction
structure
crystallography
ab initio
star3
protein
nmr
"
211,332150.tags,"rna
tiling
noncoding
mouse
genome
"
212,332173.tags,"structure
mutual
protein
information
3d
"
213,420465.tags,"structure
secondary
rna
prediction
noncoding
conserved
"
214,437770.tags,"secondary
sequence
rna
prediction
"
215,540889.tags,"dna
expression
factor
microarray
transcription
"
216,771144.tags,"pirna
microrna
"
217,438129.tags,"internet
information
science
research
comunication
"
218,446839.tags,"blog
theory
newmedia
image
ethnography
"
219,740681.tags,"hcm2006
social
metadata
"
220,100166.tags,"bayes
inference
dt
review
"
221,101.tags,"sysbio
motifs
networks
network
"
222,1116998.tags,"gene
network
inference
expression
"
223,1159615.tags,"network
function
protein
prediction
"
224,1226851.tags,"bayesian
sysbio
"
225,141840.tags,"clustering
visualization
expresssiondata
"
226,142323.tags,"interaction
domain
protein
statistics
"
227,248.tags,"systemsbiology
sec background sysbio
review
sysbio
overview
dt
"
228,249.tags,"overview
sec background sysbio
review
systemsbiology
sysbio
dt
"
229,302050.tags,"network
metabolic
graphclustering
"
230,334264.tags,"proteininteraction
human
protein
"
231,406519.tags,"robustness
network
signaling
"
232,407273.tags,"sysbio
systemsbiology
biology
dataintegration
"
233,44.tags,"networks
complex
"
234,553494.tags,"stochasticity
protein
"
235,937059.tags,"stem
cell
interaction
protein
"
236,112878.tags,"human
ultra conserved sequences
human genetics
human genome
"
237,1392792.tags,"comparative analysis
gene
encode
"
238,1465869.tags,"human evolution
human genetics
human variation
"
239,1624776.tags,"genome duplication
gene duplication
yeast genomics
"
240,444860.tags,"genome
rat genome
"
241,460153.tags,"structure
eukaryotic
gene
"
242,540889.tags,"expression profiling
primates
human evolution
"
243,668933.tags,"genetics
gene
"
244,771144.tags,"rna
sirna
rnai
"
245,904109.tags,"expression profiling
gene expression
"
246,292.tags,"experimental
biological
for
design
systems
"
247,466050.tags,"network
regulatory
transcriptional
"
248,540889.tags,"evolution
factor
transcription
"
249,86487.tags,"microarray
mirna
"
250,1752368.tags,"language
evolution
vocabulary
"
251,211497.tags,"syntax
language
evolution
"
252,446839.tags,"theory
images
blogs
hypermedia
newmedia
"
253,422950.tags,"data
collaboration
research
publishing
"
254,155900.tags,"theory of mind
infants
psychology
human
beliefs
"
255,302050.tags,"scalinglaw
hierarchy
network
cluster
eni
scalefree
modularity
graphs
complexity
graphclustering
"
256,363614.tags,"eni
complexity
networks
biological
social
"
257,1307464.tags,"transcription
network
"
258,272.tags,"dynamics
yeast
simulation
network
metabolism
"
259,1272533.tags,"statistics
review
"
260,1320727.tags,"protein
interaction
disease
networks
"
261,334264.tags,"interaction
protein
networks
y2h
human
"
262,478707.tags,"networks
interaction
protein
"
263,880918.tags,"chemical
activity profile
microarray
bioassay
drug
"
264,101.tags,"2002
complexity
network
sub graph pattern
motif
"
265,1206611.tags,"community
2007
k clique
auto correlation
social network
social
evolution
complex network
dynamics
"
266,249.tags,"modelling
complexity
2002
biology
"
267,302050.tags,"cluster
hierarchy
network
2002
scaling law
scale free
"
268,363614.tags,"motif
network
2004
"
269,43.tags,"engineering
2002
network
robustness
biology
"
270,44.tags,"complexity
small world
network
2001
"
271,90558.tags,"1999
network
emergence
growth
complex network
power law
preferantial attachment
scale free
model
"
272,1336057.tags,"rna
non coding
transcriptome
"
273,477450.tags,"high throughput
proteome
protein
large scale
yeast
cell
bio informatics
modularity
machinery
complexes
proteomics
"
274,559064.tags,"transcription
gene
network
body
regulation
plan
review
animal
"
275,1320727.tags,"networks
disease
reference
"
276,248.tags,"systemsbiology
review
"
277,477450.tags,"ms
statistics
datamining
"
278,332173.tags,"function
mutagenesis
"
279,460153.tags,"neutral
hypothesis
genome
"
280,106364.tags,"target
ncrna
microrna
3utr
"
281,118649.tags,"bioinformatics
ncrna
microrna
"
282,118727.tags,"rna
bioinformatics
"
283,137111.tags,"rna
genome
epigenetic
"
284,332150.tags,"fantom
genome
"
285,668933.tags,"rna
review
genome
"
286,771144.tags,"ncrna
review
pirna
"
287,86487.tags,"microarray
ncrna
microrna
"
288,141840.tags,"gene expression
genome
genettic interactions
"
289,477450.tags,"genettic interactions
p2p
"
290,560813.tags,"genettic interactions
p2p
"
291,229.tags,"genome
mouse
"
292,444860.tags,"rat
genome
sequence
variation
"
293,477450.tags,"proteome
network
ppi
"
294,540889.tags,"pan
homo
evolution
expression
tf
"
295,553494.tags,"protein
noise
methods
expression
detection
"
296,571538.tags,"detection
polymorhpism
snp
arrays
"
297,460153.tags,"evolution
genetics
"
298,506455.tags,"noise
gene expression
transcriptional regulation
"
299,101.tags,"combinatorics
computer science
motifs
complexity
applied math
network
web graph
sub graph pattern
motif
networks
original
"
300,523878.tags,"microrna
arabidopsis
transcriptome
"
301,101.tags,"motifs
network
"
302,114199.tags,"society
history
"
303,1226851.tags,"review
statistics
systemsbiology
bayesian
"
304,248.tags,"systemsbiology
review
"
305,333353.tags,"network
printed
evolution
"
306,44.tags,"review
network
graph
"
307,477450.tags,"yeast
proteomics
modularity
omics
"
308,507525.tags,"cognition
rat
causality
"
309,549806.tags,"parameter
optimization
pathway
"
310,106364.tags,"regulation
promoters
genomics
"
311,1097231.tags,"hapmap
copy number
snp
cnv
"
312,1116998.tags,"systems biology
review
network
"
313,1226851.tags,"statistics
bioinformatics
review
"
314,407273.tags,"systems biology
integration
bioinformatics
"
315,504894.tags,"classification
breast cancer
"
316,525366.tags,"gene set analysis
bioinformatics
"
317,957831.tags,"copy number
genomics
"
318,499796.tags,"online behavior
internet
social networks
digital divide
cmc
social interaction
online communities
"
319,141524.tags,"noise
elowitz
"
320,406519.tags,"chemotaxis
general model
noise
"
321,516580.tags,"artefacts
hobbit
flores
indonesia
archaeology
dating
"
322,516580.tags,"archaeology
dating
artefacts
homo
indonesia
hobbit
flores
"
323,1880603.tags,"drosophila
annotation
comparative
fly
genome
"
324,238188.tags,"algorithm
alignment
"
325,415502.tags,"bioinformatics
toolkit
software
"
326,420465.tags,"constraint
conserved
"
327,460153.tags,"gene
structure
evolutionary
eukaryotic
"
328,482101.tags,"binding
selex
transcription
factor
"
329,137111.tags,"non mendelian inheritance
arabidopsis
"
330,333353.tags,"network structure
model
"
331,44.tags,"review
network biological
"
332,460153.tags,"gene structure
evolution eukaryote
"
333,553497.tags,"genome duplication
speciation
polyploidy
yeast
"
334,656280.tags,"cognition
primate
"
335,523878.tags,"printed
ncrna
transcriptome
unread
"
336,668933.tags,"rna
genetics
transcription
dna
ncrna
"
337,437770.tags,"codeword design
rna
dna
"
338,482101.tags,"microarray
dna binding
hairpin
"
339,312476.tags,"algorithms
computation
mathematics
networks
graphs
languages
"
340,668899.tags,"endorsements
printed
networks
mathematics
graphs
"
341,460153.tags,"introns
gene
environment
molecular
evolution
mutation
"
342,559064.tags,"evolution
gene
development
gene regulation
network
pre cambrian
"
343,238188.tags,"thesis
nsf2007
"
344,312476.tags,"language
algorithm
ai
learning
linguistics
"
345,460153.tags,"evolution
genome
"
346,525366.tags,"human
data mining
microarray
pathway
chip
"
347,400238.tags,"perception
imagery
motorlearning
imitation
"
348,507525.tags,"context
apfc
motorlearning
"
349,1624776.tags,"yea
gene fusion
"
350,2288308.tags,"alignment
tree comparison
"
351,460153.tags,"evolution
euk
"
352,118649.tags,"secondary
bioinformatics
rna
structure
energy
mirna
free
"
353,118727.tags,"rna
prediction
structure
bioinformatics
secondary
"
354,118744.tags,"bioinformatics
structure
pseudoknots
secondary
rna
mfe
"
355,150261.tags,"structure
secondary
kinetics
folding
rna
bioinformatics
"
356,612608.tags,"secondary
bayesian
structure
rna
bioinformatics
partition
function
"
357,1097231.tags,"round robin
association mapping
gene expression
cnv
eisen journal club
rich presented
"
358,1336057.tags,"in depth
in depth suggestion
eisen journal club
"
359,1388250.tags,"stuart presented
round robin
eisen journal club
"
360,1392792.tags,"emily presented
round robin
eisen journal club
"
361,1551105.tags,"eisen journal club
in depth suggestion
"
362,1610049.tags,"round robin
stuart presented
eisen journal club
"
363,1624776.tags,"eisen journal club
in depth suggestion
"
364,1910555.tags,"cis regulatory elements
eisen journal club
rich presented
grammar
round robin
"
365,2288308.tags,"alignment
alignment accuracy
"
366,355574.tags,"population genetics
test for selection
human
gene
"
367,466050.tags,"regulatory polymorphism
regulatory evolution
drosophila
expression divergence
cis vs trans
hybrid
expression polymorphism
"
368,466068.tags,"cis regulatory elements
chip chip
yeast
"
369,553497.tags,"duplication
evolution
yeast
gene
rapid
speciation
loss
"
370,559064.tags,"plan
gene
network
regulation
expression
evolution
body
"
371,620656.tags,"qtl
regulatory network
yeast
eqtl
"
372,698675.tags,"conserved
evolution
human
selection
annotation
constraint
prediction
alignment
rate
transcription
turnover
mammal
"
373,904109.tags,"eisen journal club
eqtl
qtl
in depth
variation
gene expression
association mapping
"
374,957831.tags,"angela presented
eisen journal club
round robin
"
375,136657.tags,"review
bio
text mining
bib
bioinformatics
literature mining
pubmed mining
txtmining
onto
msc
nlp
"
376,248.tags,"review
sysbio
printed
plasticity
overview
systemsbiology
"
377,238188.tags,"alignment
sequence
bioinformatics
"
378,312476.tags,"bioinformatics
nlp
"
379,329170.tags,"sca
major proposal
"
380,332173.tags,"protein
evolution
major proposal
alignment
"
381,241030.tags,"microarray
statistics
fdr
"
382,553497.tags,"speciation
yeast
"
383,571538.tags,"snp
cis trans
microarray
"
384,620656.tags,"yeast
cis trans
"
385,106364.tags,"transcription
regulation
mammals
"
386,272.tags,"network
dynamics
"
387,307461.tags,"ecoli
regulation
networks
"
388,466068.tags,"transcription
chip chip
yeast
"
389,478707.tags,"protein protein
essentiality
yeast
network
"
390,528160.tags,"expression
mammals
"
391,540889.tags,"expression
evolution
primates
"
392,560813.tags,"protein
yeast
interaction
"
393,613191.tags,"yeast
regulation
metabolism
"
394,698675.tags,"transcription
mammals
footprinting
tfbs
"
395,546157.tags,"ethics
emotion
thesis
"
396,98486.tags,"hci
haptic
"
397,101973.tags,"prefrontal cortex
learning
monkey
striatum
"
398,1197981.tags,"lip
prefrontal
attention
monkey
fef
neurophysiology
"
399,121661.tags,"prediction error
decision making
reinforcement learning
dopamine
monkey
learning
"
400,1322799.tags,"neuroeconomics
human
decision making
choicebehavior
incentives
fmri
discounting
economics
temporal discounting
"
401,1532668.tags,"striatum
dorsal striatum
reinforcement learning
reward
dopamine
review
decision
basal ganglia
"
402,1632947.tags,"primate
imitation
social cognition
primates
evolution
cognition
distributed
reasoning
practical
rationality
non linguistic rationality
"
403,353537.tags,"reinforcement learning
behavior
dopamine
"
404,465989.tags,"neuroscience
decision making
risk
neuroeconomics
amygdala
human processing
uncertainty
decsion making
ambiguity
"
405,656280.tags,"future
planning
tool
primate
tool use
call
apes
cognition
"
406,702349.tags,"fmri
decision making
exploration
"
407,771131.tags,"choice
cingulate cortex
contribution
exchange
social
"
408,771168.tags,"storage
observational learning
theory of mind
food
strategy
srcub jays
animal
strategic
"
409,86865.tags,"monkey
decision making
reward
neurophysiology
"
410,312119.tags,"statistical
learning
infant
"
411,312124.tags,"infant
statistical
learning
"
412,150261.tags,"rna
pseudoknots
folding
"
413,612608.tags,"structure
review
rna
"
414,1226851.tags,"networks
bioinformatics
computation
statistics
"
415,302050.tags,"tom
networks
bioinformatics
"
416,86487.tags,"genetics
microrna
"
417,880918.tags,"genomics
chemical
"
418,1453145.tags,"search
tool
folksonomy
tagging
"
419,422950.tags,"xml
scholarly communication
publishing
web
scientific
research
copyright
collaboration
creative commons
data
"
420,740681.tags,"tagging
folksonomy
collaboration
collaborative
"
421,99.tags,"small world
networks
disease
dynamic
"
422,602903.tags,"songbirds
recursion
birds
language
"
423,609199.tags,"sapir whorf
counting
numbers
cognition
language
cpprosem2
"
424,114199.tags,"commons
science
diss prop
game theory
political science
"
425,504894.tags,"classification
breast
cancer
microarray
survival
"
426,101973.tags,"learning
caudate
pfc
stimulusresponseassociation
rt
monkey
reversal
"
427,155900.tags,"infants
false belief
"
428,507926.tags,"decisionmaking
decision
"
429,1794647.tags,"refinement
comparative modeling
simulation methods
"
430,248.tags,"systems biology
review
"
431,249.tags,"review
systems biology
"
432,272.tags,"protein networks
systems biology
"
433,332173.tags,"suboptimal alignment
sequence alignment
"
434,341252.tags,"bayesian
rotamers
"
435,477450.tags,"proteomics
molecular complexes
experimental
"
436,239581.tags,"flexible protein
nma
kinesin
docking
"
437,880918.tags,"geneexpression
pharmacology
"
438,126997.tags,"protein
structure
analysis
"
439,227174.tags,"interaction
protein
"
440,341252.tags,"side chain
protein
packing
"
441,363614.tags,"biological
network
"
442,560813.tags,"protein
interaction
"
443,114199.tags,"publicgood
imt550
gametheory
economics
environment
sociology
altruism
"
444,114199.tags,"economics
tragedycommons
environment
socialscience
"
445,668899.tags,"tragedycommons
culture
cooperation
society
"
446,142488.tags,"expression
gene
stochastic
"
447,553494.tags,"expression
stochastic
gene
"
448,622483.tags,"stochastic
expression
gene
"
449,118649.tags,"precursor
mirna
energy
free
structure
folding
"
450,1362387.tags,"protein dna interactions
chip chip
"
451,141524.tags,"molbio
mesophysics
"
452,937059.tags,"molbio
mesophysics
stem
"
453,430079.tags,"review
visual
"
454,546157.tags,"affect
neuroscience
cognition
emotion
"
455,114199.tags,"macroeconomics
economics
politicalscience
"
456,84309.tags,"gametheory
copyrights
economics
law
"
457,668899.tags,"network dynamics
collective action
nature
cooperation
social networks
"
458,506455.tags,"modelling
synthetic biology
"
459,553494.tags,"noise
gene expression
"
460,249.tags,"computational
biology
systems
"
461,549806.tags,"parameter
sysbio
pathway
"
462,136657.tags,"onto
bib
nlp
bio
txtmining
"
463,353538.tags,"computational
review
neuronal
network
neuroscience
cortex
"
464,80410.tags,"long evans
neuroscience
cat
two photon
rat
imaging
column
calcium
cortex
visual
"
465,309778.tags,"human
inflammation
immunology
expression
"
466,334264.tags,"interactions
proteins
physical
human
"
467,407273.tags,"biology
system
review
integrative
"
468,477450.tags,"physical
complex
interactions
proteins
"
469,99033.tags,"human
genome wide
snp
population
haplotype
"
470,312476.tags,"language acquisition
3r
grammar
3i
grammar context free
rule
algorithm adios
motif extraction
learning unsupervised
search path
"
471,507926.tags,"decision making
 
theory of unconscious thought
attention
effect deliberation without attention
choice
deliberation
thought
consciousness
"
472,2107.tags,"chip
genomics
transcriptional regulation
yeast
"
473,1159615.tags,"prediction
network
protein
"
474,1307464.tags,"motif
network
network motif
"
475,1388250.tags,"genome
encode
rna
rna world
"
476,44.tags,"social networks
networks
"
477,47.tags,"small world
networks
"
478,478707.tags,"network
lethality
protein
centrality
"
479,668899.tags,"social networks
evolution
graphs
"
480,99.tags,"small world
social networks
small world networks
"
481,100166.tags,"cellular
networks
"
482,112878.tags,"bioinformatics
clustering
non coding
dna
"
483,528160.tags,"human
expression
mouse
transcriptome
gene
"
484,1453145.tags,"collaborative tagging
tagging
tag clouds
folksonomies
folksonomy
"
485,740681.tags,"phd
folksonomy
tagging
folksonomies
"
486,525366.tags,"expression
algorithm
functional annotation
gene set analysis
microarray
"
487,833421.tags,"cancer
interactome
"
488,86487.tags,"target
microrna
expression
microarray
"
489,880918.tags,"signature
expression
map
connectivity
functional annotation
"
490,904109.tags,"microarray
review
expression
"
491,957831.tags,"snp
map
human
disease
"
492,740681.tags,"social navigation
folksonomies
social informatics
collaborative
hcm2006
folksonomy
collaboration
metadata
tagging
classification
social
social networks
phd
"
493,702349.tags,"pfc
quals
decision making
basal ganglia
"
